Ecuación,Clasificación
1*y'' + 2*y' + 3*y = 0,homogénea
2*y'' - 5*y' + 7*y = 8*cos(x),heterogénea 
y'' - 4*y = 0,homogénea
3*y'' + 2*y' - y = 4*sin(x),heterogénea
4*y'' - 7*y' + 2*y = 0,homogénea
2*y'' + 9*y' - 6*y = 5*x,heterogénea
y'' + 6*y' + 9*y = 0,homogénea
3*y'' - 8*y' + 2*y = 6*e^x,heterogénea
5*y'' - 10*y' + 5*y = 0,homogénea
y'' + y = 2*cos(x),heterogénea
y'' + 4y' + 4y = e^(-2x),heterogénea
y'' + 6y' + 9y = 0,homogénea
y'' - 2xy' + (1 + x^2)y = 0,heterogénea
y'' + 2y' + y = sin(x),heterogénea
y'' - y = 2x,heterogénea 
y'' + 3y' + 2y = 0,homogénea
y'' + 2xy' - 2y = 0,heterogénea
y'' + y' + y = cos(x),heterogénea
y'' + y = 2x^2,heterogénea
y'' - 4y' + 4y = 0,homogénea
y'' + y' - 6y = 3x^2 - 4x + 7,heterogénea
y'' + 2y' + 5y = e^(3x),heterogénea
y'' - 4y' + 4y = 4x + 9,heterogénea
y'' + 4y = 2sin(2x) + 3cos(2x),heterogénea
y'' + y = x^2 + 1,heterogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + y = 2x + 1,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' - 5y' + 6y = 0,homogénea  
y'' + 2y' + y = 0,homogénea
y'' - 4y' + 4y = e^(2x),heterogénea
2y'' - 3y' + y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
2y'' + y' + y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' + y' + y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
y'' + 2y' - 8y = 0,homogénea 
y'' - 2y' + y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
3y'' + 7y' + 4y = 0,homogénea
y'' - y' - 6y = 0,homogénea
y'' + 3y' + 2y = e^(-2x),heterogénea
y'' + y' + 2y = 0,homogénea
y'' - 2y' + 5y = 2sin(x) + cos(x),heterogénea
y'' - 4y' + 13y = 0,homogénea
y'' - y' + y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' + 2y' + y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
y'' + 2y' + 2y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea  
y'' + 3y' + 2y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
y'' - 2y' - 3y = 0,homogénea
y'' + 3y' + 3y = 0,homogénea 
y'' + 2y' - y = 0,homogénea
y'' - 4y' + 4y = 0,homogénea
y'' + 2y' + 5y = 0,homogénea
y'' - 6y' + 13y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' - 5y' + 6y = 0,homogénea
y'' + y = 0,homogénea 
y'' - 2y' + y = 0,homogénea
y'' + 6y' + 9y = 0,homogénea
y'' - 2xy' + (1 - x^2)y = 0,heterogénea
y'' + y' + y = 2x + 1,heterogénea
y'' - 4y' + 4y = 4x + 9,heterogénea
y'' + 4y = 2sin(2x) + 3cos(2x),heterogénea
y'' + y = x^2 + 1,heterogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' + 3y' + 2y = 2x + 3,heterogénea 
y'' + 2y' + 5y = e^x,heterogénea
y'' + y' + 2y = x^2 + 1,heterogénea
y'' + 2y' - y = 2x - 1,heterogénea
y'' - 4y' + 5y = 5x^2 - 4x + 3,heterogénea
y'' + y' - 2y = e^x - 3cos(x),heterogénea
y'' - 3y' + 2y = 2x^2 + 3x,heterogénea
y'' + 4y' + 3y = 2x^2 + 4x - 1,heterogénea
y'' + y' - 4y = x^2 + 4x - 3,heterogénea
y'' + 2y' + 3y = 2x^2 - 3x + 4,heterogénea
y'' + y' - 8y = e^x + 3cos(2x),heterogénea
y'' + 3y' + 6y = 2e^(2x) + 3x^2 + 1,heterogénea
y'' - 3y' + 2y = 0,homogénea
2y'' + 6y' + 4y = 0,homogénea  
y'' - 5y' + 6y = 0,homogénea
y'' + 4y' + 3y = 0,homogénea
y'' - y' - 12y = 0,homogénea 
y'' - 6y' + 9y = 0,homogénea
y'' + 2y' + y = 0,homogénea
2y'' - y' + y = e^x,heterogénea
y'' + 3y' + 2y = 2sin(x),heterogénea
y'' + y' + 2y = 5x^2,heterogénea
y'' + y' + 2y = e^x,heterogénea
y'' + y' + 2y = sin(x),heterogénea
y'' + 2y' + 2y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
y'' + y' + 5y = 0,homogénea
2y'' - 5y' + 3y = 0,homogénea
y'' + 6y' + 13y = 0,homogénea
y'' + 4y' + 3y = e^(-x),heterogénea
y'' + y' + 6y = cos(2x),heterogénea
2y'' - y' + 2y = 5x^2,heterogénea
y'' - 8y' + 16y = 0,homogénea
y'' + 5y' + 6y = e^(2x),heterogénea
y'' - 2xy' + (1 + x^2)y = 0,heterogénea
y'' - y' - 6y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea 
2y'' - 3y' + y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
y'' - 2y' + y^(1/2) = 0,homogénea
y'' + 2y' + y = x^2 + 3,heterogénea
y'' - 6y' + 9y = 4e^(3x),heterogénea 
4y'' + 4y' + y = 0,homogénea
y'' + y' + y = 0,homogénea
y'' - 4y' + 4y = 0,homogénea
2y'' + 5y' + y = 2x^2,heterogénea
y'' + y' - 6y = 5sin(2x),heterogénea
y'' - 2xy' + (1 + x^2)y = e^(x),heterogénea 
y'' + 2xy' - 2y = 0,homogénea
y'' + 3y' + 2y = 0,homogénea
y'' + 2y' - 8y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
3y'' + 7y' + 4y = 0,homogénea
y'' - y' - 6y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' + y' + y = 0,homogénea
2y'' - 3y' + y = 0,homogénea
y'' - 4y' + 4y = 0,homogénea
1y'' + 2y' + 3y = 0,homogénea
y'' - 4y = 0,homogénea
y'' + 6y' + 9y = 0,homogénea
y'' + y = 0,homogénea
y'' + 2y' + 5y = e^(3x),heterogénea
y'' + 4y = 2sin(2x) + 3cos(2x),heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' + y = 2x + 1,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea 
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' - 4y' + 4y = e^(2x),heterogénea
2y'' - 5y' + 2y = 3sin(x),heterogénea
y'' + y = 2x^2,heterogénea
y'' - y = 2x,heterogénea
y'' + 2y' + y = sin(x),heterogénea
y'' + y' + y = cos(x),heterogénea
y'' + y' - 6y = 3x^2 - 4x + 7,heterogénea
y'' + 2y' + 2y = 0,homogénea
3y'' - 4y' + y = 0,homogénea
y'' + y' + y = 2cos(x),heterogénea
y'' - 2xy' + (1 + x^2)y = 0,heterogénea
y'' + 2y' + y = sin(x),heterogénea
y'' + y = 2x^2,heterogénea 
y'' - 3y' + 2y = x^2 + 1,heterogénea
y'' - 7y' + 10y = e^(3x),heterogénea
y'' + 3y' + 2y + x = 0,homogénea
2y'' + 3y' - y = 4sin(x),heterogénea 
y'' + y' - 6y + 3x^2 - 4x + 7 = 0,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea
